time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-29T20:21:39.670Z,37.833,-121.977,6.11,1.38,md,10,80,0.02861,0.05,nc,nc72782286,2017-03-30T05:49:02.404Z,"1km W of Diablo, California",earthquake,0.29,0.49,0.251,8,reviewed,nc,nc
2017-03-28T03:12:45.740Z,37.8335,-121.9746667,6.43,1.68,md,29,50,0.02029,0.07,nc,nc72781451,2017-03-29T02:48:01.941Z,"1km W of Diablo, California",earthquake,0.16,0.3,0.13,25,reviewed,nc,nc
2017-03-27T19:46:08.260Z,37.8383333,-121.9736667,6.48,1.2,md,13,71,0.02539,0.05,nc,nc72781291,2017-03-28T01:34:02.531Z,"1km WNW of Diablo, California",earthquake,0.31,0.39,0.16,8,reviewed,nc,nc
2016-11-17T22:32:05.260Z,37.8633333,-121.9588333,9.36,1.29,md,24,61,0.02703,0.08,nc,nc72726735,2017-02-11T07:34:50.276Z,"3km N of Diablo, California",earthquake,0.19,0.28,0.165,18,reviewed,nc,nc
2016-10-22T19:49:02.430Z,37.8385,-121.975,5.8,0.91,md,17,70,0.02432,0.07,nc,nc72716166,2017-02-11T04:34:13.819Z,"1km WNW of Diablo, California",earthquake,0.28,0.38,0.104,12,reviewed,nc,nc
2016-10-22T19:48:22.430Z,37.837,-121.9753333,6.22,0.91,md,11,71,0.02613,0.04,nc,nc72716171,2017-02-11T04:34:07.596Z,"1km W of Diablo, California",earthquake,0.27,0.75,0.162,9,reviewed,nc,nc
2016-10-22T14:20:50.940Z,37.837,-121.9725,6.07,0.83,md,11,71,0.02703,0.06,nc,nc72716071,2017-02-11T04:32:58.600Z,"1km W of Diablo, California",earthquake,0.4,0.55,0.163,9,reviewed,nc,nc
2016-10-14T09:08:16.690Z,37.8421667,-121.9283333,10.44,1.87,md,67,73,0.01802,0.11,nc,nc72712426,2017-02-11T03:36:01.780Z,"2km NW of Blackhawk, California",earthquake,0.12,0.22,0.167,50,reviewed,nc,nc
2016-09-11T20:02:01.990Z,37.842,-121.9765,8.51,1.22,md,26,68,0.02072,0.07,nc,nc72694106,2017-02-11T00:04:10.901Z,"1km WNW of Diablo, California",earthquake,0.16,0.23,0.113,18,reviewed,nc,nc
2016-08-26T14:58:46.100Z,37.8131667,-121.929,8.03,1.96,md,59,69,0.02793,0.08,nc,nc72685511,2017-02-10T22:21:19.210Z,"2km WSW of Blackhawk, California",earthquake,0.12,0.19,0.141,48,reviewed,nc,nc
2016-08-13T10:28:23.320Z,37.8095,-121.953,9.65,2.59,md,130,40,0.02613,0.12,nc,nc72676501,2017-02-10T20:49:20.020Z,"2km S of Diablo, California",earthquake,0.1,0.15,0.159,108,reviewed,nc,nc
2016-06-16T10:04:09.280Z,37.8486667,-121.993,9.14,0.61,md,14,79,0.00991,0.04,nc,nc72651926,2017-02-10T14:23:02.860Z,"3km NNE of Danville, California",earthquake,0.24,0.51,0.119,10,reviewed,nc,nc
2016-02-12T23:50:08.080Z,37.8101667,-121.9685,7,1.15,md,17,59,0.05225,0.03,nc,nc72589945,2017-02-09T23:07:15.246Z,"2km SSW of Diablo, California",earthquake,0.26,0.51,0.106,12,reviewed,nc,nc
2016-02-04T09:45:21.830Z,37.8465,-121.9715,4.54,1.68,md,27,59,0.02072,0.11,nc,nc72588421,2017-02-09T22:06:07.200Z,"1km NW of Diablo, California",earthquake,0.18,0.36,0.208,28,reviewed,nc,nc
2016-01-02T08:20:07.510Z,37.846,-121.9956667,8.74,1.28,md,27,60,0.01351,0.04,nc,nc72572725,2017-02-09T18:12:47.080Z,"2km N of Danville, California",earthquake,0.18,0.35,0.203,24,reviewed,nc,nc
